"","subject","wordEccentricity","side","efficacy","latency","precision","val","warnings"
"1","T1",0.8,"left",0.807089457450453,0.483475805384761,0.818805135686357,201.139534417707,"None"
"2","T1",0.8,"right",0.677878898917905,0.597939093143813,0.811957210371868,237.44001114538,"None"
"3","T1",6,"left",0.418802865924945,0.946567949739364,0.463259773724812,278.35376385166,"None"
"4","T1",6,"right",0.728732932251361,0.684301053109281,0.572675396631123,204.728425381587,"None"
"5","T10",0.8,"left",0.0851984604547266,0.125375058211617,0.678191282296562,347.434503204742,"None"
"6","T10",0.8,"right",0.207957964537658,0.739750890066253,0.615824719919056,335.438127389511,"None"
"7","T10",6,"left",0.159074449348705,-3.4695836549578,4,336.295354595577,"None"
"8","T10",6,"right",0.278467506447062,0.30298852607221,0.861728735155222,312.569918195652,"None"
"9","T11",0.8,"left",0.361435016768067,0.473621093882416,0.644144262552513,293.133398272261,"None"
"10","T11",0.8,"right",0.668141443951811,0.472069178639935,0.474899823682639,220.099856873836,"None"
"11","T11",6,"left",0.513440368808368,0.506071497962958,0.008399530851617,248.159986668662,"None"
"12","T11",6,"right",0.457624860971901,0.651776987777758,0.559635175550476,278.139891185298,"None"
"13","T12",0.8,"left",0.0628304289305451,1.16614297788386,0.457875247739852,337.533742366792,"None"
"14","T12",0.8,"right",0.198422878616118,0.330331585946153,0.852259420091039,332.568032148003,"None"
"15","T12",6,"left",0.0120043306450725,-4,9.99999999962142e-06,348.808185349883,"None"
"16","T12",6,"right",0.18315574031573,0.302323976343061,0.996597450436147,329.56210423357,"None"
"17","T13",0.8,"left",0.206063221906875,0.317188981736845,0.721364463911402,322.642091261615,"None"
"18","T13",0.8,"right",0.437597810735703,0.476920564245383,0.823023267672141,295.947308328039,"None"
"19","T13",6,"left",0.208827605349409,0.999295770134701,0.380035295130706,318.371796819229,"None"
"20","T13",6,"right",0.273284433985571,0.998445522464434,0.753685806821421,329.240164959844,"None"
"21","T14",0.8,"left",0.336869312539456,0.0674222569895583,0.693274541662159,305.44386221948,"None"
"22","T14",0.8,"right",0.323439007806926,0.424321036876855,0.892064422009947,314.926713373274,"None"
"23","T14",6,"left",0.391613411117215,0.476244004496279,0.858419360697962,298.585465357366,"None"
"24","T14",6,"right",0.17092649141046,-1.99711838942734,4,342.267103418766,"None"
"25","T15",0.8,"left",0.265556281480753,0.590475106469472,0.887792661366961,313.210417105236,"None"
"26","T15",0.8,"right",0.577326759231614,0.577489456863922,0.75223930733894,264.16575616059,"None"
"27","T15",6,"left",0.160999604083145,2.56666858887119,2.57350165452095,334.252518685334,"None"
"28","T15",6,"right",0.455426463263445,0.561757329314057,0.750633934228653,285.977677648644,"None"
"29","T16",0.8,"left",0.296944596662483,-0.042555758145727,0.925624159479785,317.531091777228,"None"
"30","T16",0.8,"right",0.725934971879304,-0.443071777206903,1.06178262279268,239.39377665957,"None"
"31","T16",6,"left",0.393753564258598,0.156328853619081,0.857702878090702,300.736634043036,"None"
"32","T16",6,"right",0.341403168431963,0.24181869063721,0.736248721455797,312.710852741085,"None"
"33","T17",0.8,"left",0.326442582767376,0.0375208884759824,0.716827601131511,309.917531032546,"None"
"34","T17",0.8,"right",0.280099980311464,-0.298419037931248,0.654840456412028,312.295113267065,"None"
"35","T17",6,"left",0.186512425262578,0.738904056038026,0.924512151233699,337.401929335949,"None"
"36","T17",6,"right",0.30543488633066,0.110121486483783,0.50172425905353,312.301555349559,"None"
"37","T18",0.8,"left",0.305930557295696,-0.216365125255003,1.10263906309091,322.169942549218,"None"
"38","T18",0.8,"right",0.745153603568398,-0.256253591810709,0.789274382546462,219.348091129473,"None"
"39","T18",6,"left",0.403488756830336,-0.213628351000252,1.07193647494846,305.591026608408,"None"
"40","T18",6,"right",0.461229678756237,-0.125401754814339,0.840843493369932,292.765654918371,"None"
"41","T19",0.8,"left",0.439490283656342,-0.569311589882497,1.34879042575307,308.501521668081,"None"
"42","T19",0.8,"right",0.318285187964664,-0.114765452665581,0.868227882554433,313.080411874622,"None"
"43","T19",6,"left",0.256804283457777,-0.00261627352274265,1.9427066753483,327.268543045732,"None"
"44","T19",6,"right",0.514899608276475,-0.20196462961584,1.23561787708981,287.265491857724,"None"
"45","T2",0.8,"left",0.435130741144462,-0.367727416356408,0.662783802078762,282.248213352996,"None"
"46","T2",0.8,"right",0.525485281135562,-0.474864775719726,1.05196277765125,285.125763827144,"None"
"47","T2",6,"left",0.404578670535621,-0.293768752770725,0.574114261276044,288.629555892077,"None"
"48","T2",6,"right",0.249532523254111,-0.139409449400215,0.781410357811248,321.914925848443,"None"
"49","T20",0.8,"left",0.518148931205924,-0.15519764886162,1.48885662813115,295.287482404972,"None"
"50","T20",0.8,"right",0.283555844705673,-0.0199921631266925,0.583829420614112,305.764553104937,"None"
"51","T20",6,"left",0.5101596613453,0.517739416120685,1.34583860880086,291.668737933728,"None"
"52","T20",6,"right",0.272696967304698,0.189050117385859,4,339.365537056921,"None"
"53","T3",0.8,"left",0.557721589308052,0.144543142611093,0.774924424353585,268.985044492854,"None"
"54","T3",0.8,"right",0.683020919409095,0.0197794481137644,0.638746910028775,226.447717857631,"None"
"55","T3",6,"left",0.491446877302234,0.0137541585444998,0.900533078453999,287.488926927791,"None"
"56","T3",6,"right",0.691518206847088,0.063323249587489,0.920880652626489,243.358369816379,"None"
"57","T4",0.8,"left",0.200526052427247,0.00114552795855879,1.01977453141164,326.463085197463,"None"
"58","T4",0.8,"right",0.51837017694932,-0.190620995938908,0.876514197340029,282.902285855358,"None"
"59","T4",6,"left",0.33190760255411,0.468589505391725,2.12824971701322,328.718221584542,"None"
"60","T4",6,"right",0.510727676027644,-0.126511018784976,1.37024039933403,296.020796128558,"None"
"61","T5",0.8,"left",0.26344320974841,0.277811609233302,0.43419746589434,314.075956895346,"None"
"62","T5",0.8,"right",0.769329958636037,0.336756096652996,0.725289751875486,215.193669496909,"None"
"63","T5",6,"left",0.393331150899647,0.372932152571884,0.737290942123415,294.138278979569,"None"
"64","T5",6,"right",0.453690615996021,0.189569139350001,0.729384232520138,283.659139115692,"None"
"65","T6",0.8,"left",0.173684453399157,-0.236203299069652,0.806544712604422,335.198904645043,"None"
"66","T6",0.8,"right",0.56932397253748,-0.149626743762125,1.17906208905736,283.133376075923,"None"
"67","T6",6,"left",0.355232866883232,0.41286292787171,0.796720671612803,308.129893187713,"None"
"68","T6",6,"right",0.24688659966768,0.0465079936721134,0.479422141989096,311.689976951479,"None"
"69","T7",0.8,"left",0.252437536213985,-0.0245809781539181,0.9450989366416,320.90844559242,"None"
"70","T7",0.8,"right",0.617903876421476,0.199328603270721,0.953103490622156,259.057424919464,"None"
"71","T7",6,"left",0.234841240937477,0.356546235552625,1.23844504442487,328.006316900389,"None"
"72","T7",6,"right",0.499584240356348,-0.0830948241730114,1.10998916117619,285.42703019202,"None"
"73","T8",0.8,"left",0.17277334946227,-0.549336097142198,1.4585425569897,338.84889864652,"None"
"74","T8",0.8,"right",0.268295216697005,0.569549046678076,0.774467464001671,327.901166559614,"None"
"75","T8",6,"left",0.295999981185566,1.03340466226503,4,336.463007270178,"None"
"76","T8",6,"right",0.470321846066699,-0.202729822877072,4,325.369431473483,"None"
"77","T9",0.8,"left",1e-05,4,4,382.939842854262,"None"
"78","T9",0.8,"right",1e-05,4,4,378.675582783343,"None"
"79","T9",6,"left",0.0120060912934606,-4,1e-05,359.244280863295,"None"
"80","T9",6,"right",1e-05,4,4,376.421504883025,"None"
